District,RentType,Area,Price,UnitPrice,HouseFloor,BuldFloor,ElevatorFlag,CommunityID,Geometry
PY,Whole,61,2200,36,M,4,0,249,"22 58m 9.25923s N, 113 19m 44.773s E"
PY,Whole,135,3800,28,M,12,1,1253,"22 56m 20.9373s N, 113 23m 38.9572s E"
PY,Whole,70,5500,78,H,13,1,986,"23 0m 41.8176s N, 113 22m 20.468s E"
PY,Whole,90,7000,77,L,26,1,986,"23 0m 41.8176s N, 113 22m 20.468s E"
PY,Whole,90,5800,64,L,23,1,986,"23 0m 41.8176s N, 113 22m 20.468s E"
PY,Whole,75,3200,42,L,6,0,255,"23 1m 11.8535s N, 113 18m 44.3675s E"
BY,Whole,87,3300,37,H,33,1,259,"23 16m 39.1979s N, 113 18m 59.736s E"
BY,Whole,82,3000,36,L,33,1,259,"23 16m 39.1979s N, 113 18m 59.736s E"
BY,Whole,34,1700,50,H,29,1,259,"23 16m 39.1979s N, 113 18m 59.736s E"
HZ,Whole,40,3000,75,M,31,1,2835,"23 6m 1.63252s N, 113 15m 24.2795s E"
HZ,Whole,80,4000,50,M,31,1,2835,"23 6m 1.63252s N, 113 15m 24.2795s E"
PY,Whole,67,2600,38,M,7,0,260,"23 1m 14.8569s N, 113 18m 39.1216s E"
PY,Whole,303,15000,49,M,18,1,262,"23 1m 44.8302s N, 113 20m 19.6436s E"
PY,Whole,256,15000,58,H,17,1,262,"23 1m 44.8302s N, 113 20m 19.6436s E"
PY,Whole,80,1600,20,H,6,0,263,"22 56m 14.7877s N, 113 21m 23.1456s E"
TH,Whole,54,3300,61,L,6,0,265,"23 9m 29.5572s N, 113 19m 54.2438s E"
TH,Whole,24,2800,116,M,9,1,265,"23 9m 29.5572s N, 113 19m 54.2438s E"
PY,Whole,110,1800,16,H,6,0,269,"22 56m 9.76346s N, 113 22m 3.10983s E"
BY,Whole,84,3000,35,L,9,0,274,"23 12m 26.0457s N, 113 13m 27.532s E"
HP,Whole,71,1500,21,M,9,0,2842,"23 4m 47.8632s N, 113 31m 11.6113s E"
HZ,Whole,53,3600,67,H,12,1,275,"23 5m 6.14444s N, 113 18m 39.1527s E"
CH,Whole,68,1500,22,M,8,0,277,"23 38m 14.7083s N, 113 26m 42.4979s E"
TH,Whole,90,3600,40,H,9,0,2845,"23 7m 38.0325s N, 113 22m 17.2322s E"
PY,Whole,60,2000,33,M,7,0,280,"22 58m 42.9361s N, 113 18m 40.0228s E"
CH,Whole,131,2500,19,L,18,1,281,"23 38m 20.5571s N, 113 39m 11.6398s E"
CH,Whole,109,1500,13,M,23,1,281,"23 38m 20.5571s N, 113 39m 11.6398s E"
YX,Whole,25,1700,68,H,9,0,438,"23 8m 14.9846s N, 113 16m 36.6875s E"
YX,Whole,45,3000,66,M,9,0,438,"23 8m 14.9846s N, 113 16m 36.6875s E"
YX,Whole,60,3500,58,H,9,0,438,"23 8m 14.9846s N, 113 16m 36.6875s E"
YX,Whole,28,3500,125,M,7,0,438,"23 8m 14.9846s N, 113 16m 36.6875s E"
HZ,Whole,28,2400,85,M,4,0,286,"23 5m 53.4923s N, 113 18m 41.8191s E"
ZC,Whole,106,2500,23,L,23,1,855,"23 8m 56.9429s N, 113 36m 44.7879s E"
ZC,Whole,90,2500,27,H,18,1,855,"23 8m 56.9429s N, 113 36m 44.7879s E"
ZC,Whole,80,2000,25,H,23,1,855,"23 8m 56.9429s N, 113 36m 44.7879s E"
ZC,Whole,90,2000,22,M,28,0,855,"23 8m 56.9429s N, 113 36m 44.7879s E"
BY,Whole,30,1500,50,H,4,0,288,"23 11m 3.89268s N, 113 18m 48.9444s E"
BY,Whole,30,1800,60,M,6,0,288,"23 11m 3.89268s N, 113 18m 48.9444s E"
TH,Whole,75,2800,37,H,8,0,290,"23 7m 26.9634s N, 113 21m 10.2233s E"
TH,Whole,55,3200,58,M,8,0,290,"23 7m 26.9634s N, 113 21m 10.2233s E"
TH,Whole,95,5500,57,M,11,1,292,"23 7m 40.0358s N, 113 21m 2.37409s E"
PY,Shared,6,990,165,8,9,1,294,"23 2m 17.3687s N, 113 17m 45.4928s E"
NS,Whole,120,3500,29,M,39,0,296,"22 46m 20.3092s N, 113 36m 17.263s E"
NS,Whole,98,2000,20,L,39,0,296,"22 46m 20.3092s N, 113 36m 17.263s E"
ZC,Whole,143,3500,24,H,18,1,297,"23 11m 34.1411s N, 113 35m 18.7674s E"
PY,Whole,104,5000,48,L,30,1,1005,"22 58m 21.2681s N, 113 20m 20.4837s E"
BY,Whole,25,1200,48,M,5,0,299,"23 9m 44.5344s N, 113 15m 35.4342s E"
BY,Whole,90,3600,40,M,10,0,299,"23 9m 44.5344s N, 113 15m 35.4342s E"
LW,Whole,55,1450,26,H,6,0,2859,"23 4m 59.8327s N, 113 13m 17.8186s E"
