District,RentType,Area,Price,UnitPrice,HouseFloor,BuldFloor,ElevatorFlag,CommunityID,Geometry
PY,Whole,20,700,35,M,5,0,2926,"22 56m 57.1616s N, 113 21m 45.5314s E"
PY,Whole,20,1000,50,M,5,0,2926,"22 56m 57.1616s N, 113 21m 45.5314s E"
YX,Whole,35,2600,74,M,5,0,2927,"23 7m 11.5307s N, 113 15m 43.0076s E"
YX,Whole,40,2800,70,M,5,0,2927,"23 7m 11.5307s N, 113 15m 43.0076s E"
LW,Whole,133,5200,39,L,9,0,2928,"23 8m 3.65551s N, 113 14m 23.9051s E"
TH,Whole,120,8300,69,H,27,1,2929,"23 7m 44.0976s N, 113 20m 52.5279s E"
TH,Whole,50,5500,110,H,6,1,2929,"23 7m 44.0976s N, 113 20m 52.5279s E"
TH,Whole,50,5500,110,H,6,1,2929,"23 7m 44.0976s N, 113 20m 52.5279s E"
TH,Whole,50,5000,100,L,6,1,2929,"23 7m 44.0976s N, 113 20m 52.5279s E"
TH,Whole,53,5500,103,H,6,1,2929,"23 7m 44.0976s N, 113 20m 52.5279s E"
TH,Whole,33,4500,136,L,27,1,2929,"23 7m 44.0976s N, 113 20m 52.5279s E"
LW,Whole,51,2800,54,M,8,0,1082,"23 7m 54.2975s N, 113 14m 19.3431s E"
LW,Whole,44,2500,56,H,5,0,1082,"23 7m 54.2975s N, 113 14m 19.3431s E"
LW,Whole,45,2500,55,H,9,0,1082,"23 7m 54.2975s N, 113 14m 19.3431s E"
TH,Whole,77,4800,62,M,19,1,2930,"23 8m 43.5727s N, 113 20m 0.785593s E"
TH,Whole,77,4000,51,13,20,1,2930,"23 8m 43.5727s N, 113 20m 0.785593s E"
TH,Whole,77,4600,59,13,19,1,2930,"23 8m 43.5727s N, 113 20m 0.785593s E"
HD,Whole,95,2500,26,L,16,1,1415,"23 22m 52.2921s N, 113 11m 18.289s E"
BY,Whole,97,3600,37,H,33,1,1140,"23 10m 26.9766s N, 113 12m 10.1971s E"
BY,Whole,96,3600,37,H,33,1,1140,"23 10m 26.9766s N, 113 12m 10.1971s E"
BY,Whole,78,3000,38,M,6,0,2931,"23 10m 25.9925s N, 113 14m 42.5688s E"
BY,Whole,43,2100,48,H,6,0,2931,"23 10m 25.9925s N, 113 14m 42.5688s E"
BY,Whole,58,2800,48,M,9,0,915,"23 10m 13.0059s N, 113 15m 9.64009s E"
BY,Whole,40,2837,70,L,9,0,915,"23 10m 13.0059s N, 113 15m 9.64009s E"
